Text name: results/ant_ppo_headingCoef1e-04_maxSec6_batchSize100.txt
  [eval] sumRwd:[-77.402](cntct:-0.054+ctrl:-106.343+fwd:-2.379+head:-26.646+srv:58.020) tickAvg:[58]
[22/10000](#total:2300) sumRwd:[-71.106](cntct:-0.061+ctrl:-113.359+fwd:0.558+head:-20.514+srv:62.270) tickAvg:[62]
  [eval] sumRwd:[-69.292](cntct:-0.055+ctrl:-101.925+fwd:0.692+head:-23.354+srv:55.350) tickAvg:[55]
[23/10000](#total:2400) sumRwd:[-80.024](cntct:-0.059+ctrl:-106.923+fwd:-4.114+head:-27.078+srv:58.150) tickAvg:[58]
  [eval] sumRwd:[-76.823](cntct:-0.056+ctrl:-104.680+fwd:-2.967+head:-26.080+srv:56.960) tickAvg:[56]
[24/10000](#total:2500) sumRwd:[-67.864](cntct:-0.053+ctrl:-101.254+fwd:-0.720+head:-21.406+srv:55.570) tickAvg:[55]
  [eval] sumRwd:[-79.040](cntct:-0.056+ctrl:-104.616+fwd:-0.514+head:-30.673+srv:56.820) tickAvg:[56]
[25/10000](#total:2600) sumRwd:[-83.338](cntct:-0.060+ctrl:-111.449+fwd:-2.014+head:-30.065+srv:60.250) tickAvg:[60]
  [eval] sumRwd:[-67.586](cntct:-0.054+ctrl:-100.853+fwd:2.414+head:-24.173+srv:55.080) tickAvg:[55]
[26/10000](#total:2700) sumRwd:[-68.956](cntct:-0.056+ctrl:-102.822+fwd:1.654+head:-23.821+srv:56.090) tickAvg:[56]
  [eval] sumRwd:[-80.864](cntct:-0.061+ctrl:-115.234+fwd:0.841+head:-28.971+srv:62.560) tickAvg:[62]
[27/10000](#total:2800) sumRwd:[-72.351](cntct:-0.056+ctrl:-109.421+fwd:-0.352+head:-21.973+srv:59.450) tickAvg:[59]
  [eval] sumRwd:[-51.346](cntct:-0.042+ctrl:-82.231+fwd:0.491+head:-14.724+srv:45.160) tickAvg:[45]
[28/10000](#total:2900) sumRwd:[-76.584](cntct:-0.057+ctrl:-108.218+fwd:0.492+head:-27.552+srv:58.750) tickAvg:[58]
  [eval] sumRwd:[-72.257](cntct:-0.053+ctrl:-100.476+fwd:-0.825+head:-25.753+srv:54.850) tickAvg:[54]
[29/10000](#total:3000) sumRwd:[-59.589](cntct:-0.051+ctrl:-97.336+fwd:3.285+head:-18.997+srv:53.510) tickAvg:[53]
  [eval] sumRwd:[-64.159](cntct:-0.050+ctrl:-94.548+fwd:0.478+head:-21.349+srv:51.310) tickAvg:[51]
[30/10000](#total:3100) sumRwd:[-72.251](cntct:-0.053+ctrl:-101.855+fwd:-0.529+head:-24.614+srv:54.800) tickAvg:[54]
  [eval] sumRwd:[-60.390](cntct:-0.048+ctrl:-91.739+fwd:-0.983+head:-17.840+srv:50.220) tickAvg:[50]
[31/10000](#total:3200) sumRwd:[-63.071](cntct:-0.051+ctrl:-96.109+fwd:-0.607+head:-18.603+srv:52.300) tickAvg:[52]
  [eval] sumRwd:[-91.116](cntct:-0.059+ctrl:-117.370+fwd:-5.238+head:-31.169+srv:62.720) tickAvg:[62]
[32/10000](#total:3300) sumRwd:[-71.563](cntct:-0.056+ctrl:-105.299+fwd:1.296+head:-24.694+srv:57.190) tickAvg:[57]
  [eval] sumRwd:[-70.184](cntct:-0.055+ctrl:-103.480+fwd:0.910+head:-24.188+srv:56.630) tickAvg:[56]
[33/10000](#total:3400) sumRwd:[-56.010](cntct:-0.047+ctrl:-88.492+fwd:0.045+head:-15.816+srv:48.300) tickAvg:[48]
  [eval] sumRwd:[-52.550](cntct:-0.040+ctrl:-79.293+fwd:0.094+head:-16.712+srv:43.400) tickAvg:[43]
[34/10000](#total:3500) sumRwd:[-80.041](cntct:-0.062+ctrl:-115.607+fwd:3.177+head:-30.269+srv:62.720) tickAvg:[62]
  [eval] sumRwd:[-74.381](cntct:-0.054+ctrl:-99.104+fwd:-4.200+head:-25.113+srv:54.090) tickAvg:[54]
[35/10000](#total:3600) sumRwd:[-67.568](cntct:-0.049+ctrl:-94.298+fwd:-4.234+head:-20.486+srv:51.500) tickAvg:[51]
  [eval] sumRwd:[-70.262](cntct:-0.054+ctrl:-103.685+fwd:2.810+head:-25.382+srv:56.050) tickAvg:[56]
[36/10000](#total:3700) sumRwd:[-62.350](cntct:-0.049+ctrl:-95.035+fwd:-1.452+head:-17.694+srv:51.880) tickAvg:[51]
  [eval] sumRwd:[-65.362](cntct:-0.052+ctrl:-97.652+fwd:1.841+head:-22.939+srv:53.440) tickAvg:[53]
[37/10000](#total:3800) sumRwd:[-83.698](cntct:-0.060+ctrl:-109.316+fwd:0.327+head:-34.310+srv:59.660) tickAvg:[59]
  [eval] sumRwd:[-66.237](cntct:-0.049+ctrl:-89.821+fwd:-3.522+head:-22.645+srv:49.800) tickAvg:[49]
[38/10000](#total:3900) sumRwd:[-83.344](cntct:-0.062+ctrl:-114.822+fwd:1.547+head:-32.067+srv:62.060) tickAvg:[62]
  [eval] sumRwd:[-66.119](cntct:-0.051+ctrl:-97.092+fwd:3.057+head:-24.673+srv:52.640) tickAvg:[52]
[39/10000](#total:4000) sumRwd:[-64.961](cntct:-0.050+ctrl:-92.986+fwd:1.473+head:-24.058+srv:50.660) tickAvg:[50]
  [eval] sumRwd:[-59.690](cntct:-0.047+ctrl:-89.866+fwd:-0.192+head:-18.684+srv:49.100) tickAvg:[49]
[40/10000](#total:4100) sumRwd:[-69.440](cntct:-0.051+ctrl:-95.893+fwd:-2.709+head:-23.137+srv:52.350) tickAvg:[52]
  [eval] sumRwd:[-57.228](cntct:-0.049+ctrl:-94.340+fwd:1.914+head:-16.074+srv:51.320) tickAvg:[51]
[41/10000](#total:4200) sumRwd:[-54.231](cntct:-0.042+ctrl:-81.883+fwd:0.012+head:-16.798+srv:44.480) tickAvg:[44]
  [eval] sumRwd:[-73.859](cntct:-0.051+ctrl:-96.527+fwd:-1.002+head:-28.819+srv:52.540) tickAvg:[52]
[42/10000](#total:4300) sumRwd:[-63.831](cntct:-0.048+ctrl:-93.583+fwd:-4.741+head:-17.130+srv:51.670) tickAvg:[51]
  [eval] sumRwd:[-60.063](cntct:-0.051+ctrl:-94.075+fwd:-0.365+head:-16.323+srv:50.750) tickAvg:[50]
[43/10000](#total:4400) sumRwd:[-65.682](cntct:-0.047+ctrl:-89.870+fwd:-2.807+head:-21.148+srv:48.190) tickAvg:[48]
  [eval] sumRwd:[-58.373](cntct:-0.048+ctrl:-93.446+fwd:0.494+head:-16.143+srv:50.770) tickAvg:[50]
[44/10000](#total:4500) sumRwd:[-62.339](cntct:-0.046+ctrl:-87.633+fwd:-0.433+head:-21.037+srv:46.810) tickAvg:[46]
  [eval] sumRwd:[-55.693](cntct:-0.045+ctrl:-83.547+fwd:1.211+head:-19.192+srv:45.880) tickAvg:[45]
[45/10000](#total:4600) sumRwd:[-65.813](cntct:-0.047+ctrl:-89.202+fwd:0.924+head:-24.987+srv:47.500) tickAvg:[47]
  [eval] sumRwd:[-64.366](cntct:-0.050+ctrl:-93.124+fwd:2.513+head:-24.444+srv:50.740) tickAvg:[50]
[46/10000](#total:4700) sumRwd:[-63.641](cntct:-0.052+ctrl:-94.250+fwd:0.361+head:-21.590+srv:51.890) tickAvg:[51]
  [eval] sumRwd:[-67.051](cntct:-0.052+ctrl:-97.369+fwd:1.549+head:-23.899+srv:52.720) tickAvg:[52]
[47/10000](#total:4800) sumRwd:[-67.277](cntct:-0.048+ctrl:-93.231+fwd:-3.471+head:-21.777+srv:51.250) tickAvg:[51]
  [eval] sumRwd:[-63.184](cntct:-0.048+ctrl:-90.296+fwd:0.871+head:-23.022+srv:49.310) tickAvg:[49]
[48/10000](#total:4900) sumRwd:[-60.530](cntct:-0.046+ctrl:-87.854+fwd:-0.802+head:-19.928+srv:48.100) tickAvg:[48]
  [eval] sumRwd:[-60.613](cntct:-0.048+ctrl:-91.615+fwd:-0.901+head:-17.129+srv:49.080) tickAvg:[49]
[49/10000](#total:5000) sumRwd:[-76.440](cntct:-0.055+ctrl:-104.002+fwd:-1.009+head:-27.924+srv:56.550) tickAvg:[56]
  [eval] sumRwd:[-74.128](cntct:-0.053+ctrl:-101.351+fwd:0.479+head:-28.333+srv:55.130) tickAvg:[55]
[50/10000](#total:5100) sumRwd:[-63.072](cntct:-0.050+ctrl:-94.617+fwd:1.673+head:-21.728+srv:51.650) tickAvg:[51]
  [eval] sumRwd:[-57.129](cntct:-0.048+ctrl:-90.478+fwd:4.636+head:-20.328+srv:49.090) tickAvg:[49]
[51/10000](#total:5200) sumRwd:[-63.619](cntct:-0.049+ctrl:-91.559+fwd:0.914+head:-22.865+srv:49.940) tickAvg:[49]
  [eval] sumRwd:[-59.872](cntct:-0.050+ctrl:-95.201+fwd:1.088+head:-17.859+srv:52.150) tickAvg:[52]
[52/10000](#total:5300) sumRwd:[-60.867](cntct:-0.045+ctrl:-85.329+fwd:0.090+head:-22.263+srv:46.680) tickAvg:[46]
  [eval] sumRwd:[-62.734](cntct:-0.051+ctrl:-96.172+fwd:5.177+head:-24.519+srv:52.830) tickAvg:[52]
